product_id;product_name;product_class_id;product_category;product_subcategory;product_department;product_family
63;Red Spade Chicken Hot Dogs;81;Meat;Hot Dogs;Deli;Food
64;Red Spade Pimento Loaf;91;Meat;Bologna;Deli;Food
65;Red Spade Beef Bologna;91;Meat;Bologna;Deli;Food
66;Red Spade Low Fat Bologna;91;Meat;Bologna;Deli;Food
67;Red Spade Turkey Hot Dogs;81;Meat;Hot Dogs;Deli;Food
68;Red Spade Foot-Long Hot Dogs;81;Meat;Hot Dogs;Deli;Food
69;Red Spade Low Fat Cole Slaw;16;Side Dishes;Deli Salads;Deli;Food
70;Red Spade Cole Slaw;16;Side Dishes;Deli Salads;Deli;Food
71;Red Spade Roasted Chicken;77;Meat;Fresh Chicken;Deli;Food
72;Red Spade Corned Beef;8;Meat;Deli Meats;Deli;Food
73;Red Spade Sliced Turkey;8;Meat;Deli Meats;Deli;Food
74;Red Spade Sliced Ham;8;Meat;Deli Meats;Deli;Food
75;Red Spade Potato Salad;16;Side Dishes;Deli Salads;Deli;Food
76;Red Spade Sliced Chicken;8;Meat;Deli Meats;Deli;Food
77;Blue Medal Small Brown Eggs;66;Eggs;Eggs;Eggs;Food
78;Blue Medal Large Brown Eggs;66;Eggs;Eggs;Eggs;Food
79;Blue Medal Small Eggs;66;Eggs;Eggs;Eggs;Food
80;Blue Medal Large Eggs;66;Eggs;Eggs;Eggs;Food
81;Blue Medal Egg Substitute;66;Eggs;Eggs;Eggs;Food
82;Golden Low Fat Waffles;34;Breakfast Foods;Waffles;Frozen Foods;Food
83;Golden Orange Popsicles;110;Frozen Desserts;Popsicles;Frozen Foods;Food
84;Golden Frozen Chicken Breast;100;Meat;Frozen Chicken;Frozen Foods;Food
85;Golden Frozen Pancakes;29;Breakfast Foods;Pancakes;Frozen Foods;Food
86;Golden Low Fat French Fries;63;Vegetables;French Fries;Frozen Foods;Food
87;Golden Frozen Sausage Pizza;64;Pizza;Pizza;Frozen Foods;Food
88;Golden Blueberry Waffles;34;Breakfast Foods;Waffles;Frozen Foods;Food
89;Golden Fajita French Fries;63;Vegetables;French Fries;Frozen Foods;Food
90;Golden Waffles;34;Breakfast Foods;Waffles;Frozen Foods;Food
91;Golden Frozen Pepperoni Pizza;64;Pizza;Pizza;Frozen Foods;Food
92;Golden Frozen Cheese Pizza;64;Pizza;Pizza;Frozen Foods;Food
93;Golden Frozen Mushroom Pizza;64;Pizza;Pizza;Frozen Foods;Food
94;Golden Apple Cinnamon Waffles;34;Breakfast Foods;Waffles;Frozen Foods;Food
95;Golden Frozen Carrots;60;Vegetables;Frozen Vegetables;Frozen Foods;Food
96;Golden Turkey TV Dinner;10;Frozen Entrees;TV Dinner;Frozen Foods;Food
97;Golden Chicken TV Dinner;10;Frozen Entrees;TV Dinner;Frozen Foods;Food
98;Golden Beef TV Dinner;10;Frozen Entrees;TV Dinner;Frozen Foods;Food
99;Golden Pancake Mix;28;Breakfast Foods;Pancake Mix;Frozen Foods;Food
100;Golden Grape Popsicles;110;Frozen Desserts;Popsicles;Frozen Foods;Food
101;Golden Home Style French Fries;63;Vegetables;French Fries;Frozen Foods;Food
102;Golden Lime Popsicles;110;Frozen Desserts;Popsicles;Frozen Foods;Food
103;Golden Ice Cream;9;Frozen Desserts;Ice Cream;Frozen Foods;Food
104;Golden Ice Cream Sandwich;9;Frozen Desserts;Ice Cream;Frozen Foods;Food
105;Golden Frozen Cauliflower;60;Vegetables;Frozen Vegetables;Frozen Foods;Food
106;Golden Frozen Broccoli;60;Vegetables;Frozen Vegetables;Frozen Foods;Food
107;Golden Frozen Corn;60;Vegetables;Frozen Vegetables;Frozen Foods;Food
108;Golden Frozen Peas;60;Vegetables;Frozen Vegetables;Frozen Foods;Food
109;Golden Popsicles;9;Frozen Desserts;Ice Cream;Frozen Foods;Food
110;Golden Frozen Chicken Thighs;100;Meat;Frozen Chicken;Frozen Foods;Food
111;Golden Frozen Chicken Wings;100;Meat;Frozen Chicken;Frozen Foods;Food
112;Golden Lemon Popsicles;110;Frozen Desserts;Popsicles;Frozen Foods;Food
113;Faux Products Silky Smooth Hair Conditioner;78;Bathroom Products;Conditioner;Health and Hygiene;Non-Consumable
114;Faux Products Tartar Control Toothpaste;39;Hygiene;Personal Hygiene;Health and Hygiene;Non-Consumable
115;Faux Products Whitening Toothpast;39;Hygiene;Personal Hygiene;Health and Hygiene;Non-Consumable
116;Faux Products Toothpaste;39;Hygiene;Personal Hygiene;Health and Hygiene;Non-Consumable
117;Faux Products Deodorant;39;Hygiene;Personal Hygiene;Health and Hygiene;Non-Consumable
118;Faux Products Conditioning Shampoo;79;Bathroom Products;Shampoo;Health and Hygiene;Non-Consumable
119;Faux Products Extra Moisture Shampoo;79;Bathroom Products;Shampoo;Health and Hygiene;Non-Consumable
120;Faux Products Angled Toothbrush;88;Bathroom Products;Toothbrushes;Health and Hygiene;Non-Consumable
121;Faux Products Apricot Shampoo;79;Bathroom Products;Shampoo;Health and Hygiene;Non-Consumable
122;Faux Products Childrens Aspirin;70;Pain Relievers;Aspirin;Health and Hygiene;Non-Consumable
123;Faux Products Buffered Aspirin;70;Pain Relievers;Aspirin;Health and Hygiene;Non-Consumable
124;Faux Products 200 MG Ibuprofen;71;Pain Relievers;Ibuprofen;Health and Hygiene;Non-Consumable
125;Faux Products 200 MG Acetominifen;72;Pain Relievers;Acetominifen;Health and Hygiene;Non-Consumable
126;Faux Products HCL Nasal Spray;73;Decongestants;Nasal Sprays;Health and Hygiene;Non-Consumable
127;Faux Products Dishwasher Detergent;73;Decongestants;Nasal Sprays;Health and Hygiene;Non-Consumable
128;Faux Products Multi-Symptom Cold Remedy;75;Cold Remedies;Cold Remedies;Health and Hygiene;Non-Consumable
129;Faux Products Childrens Cold Remedy;75;Cold Remedies;Cold Remedies;Health and Hygiene;Non-Consumable
130;Faux Products Laundry Detergent;74;Bathroom Products;Mouthwash;Health and Hygiene;Non-Consumable
131;Faux Products Mint Mouthwash;74;Bathroom Products;Mouthwash;Health and Hygiene;Non-Consumable
132;Denny 60 Watt Lightbulb;80;Electrical;Lightbulbs;Household;Non-Consumable
133;Denny Plastic Forks;56;Plastic Products;Plastic Utensils;Household;Non-Consumable
134;Denny Plastic Spoons;56;Plastic Products;Plastic Utensils;Household;Non-Consumable
135;Denny Plastic Knives;56;Plastic Products;Plastic Utensils;Household;Non-Consumable
136;Denny C-Size Batteries;101;Electrical;Batteries;Household;Non-Consumable
137;Denny 100 Watt Lightbulb;80;Electrical;Lightbulbs;Household;Non-Consumable
138;Denny AAA-Size Batteries;101;Electrical;Batteries;Household;Non-Consumable
139;Denny Paper Plates;55;Paper Products;Paper Dishes;Household;Non-Consumable
140;Denny Paper Cups;55;Paper Products;Paper Dishes;Household;Non-Consumable
141;Denny 75 Watt Lightbulb;80;Electrical;Lightbulbs;Household;Non-Consumable
142;Denny Toilet Bowl Cleaner;22;Cleaning Supplies;Cleaners;Household;Non-Consumable
143;Denny Counter Cleaner;22;Cleaning Supplies;Cleaners;Household;Non-Consumable
144;Denny Glass Cleaner;22;Cleaning Supplies;Cleaners;Household;Non-Consumable
145;Denny 25 Watt Lightbulb;80;Electrical;Lightbulbs;Household;Non-Consumable
146;Denny AA-Size Batteries;101;Electrical;Batteries;Household;Non-Consumable
147;Denny D-Size Batteries;101;Electrical;Batteries;Household;Non-Consumable
148;Denny Paper Towels;18;Paper Products;Paper Wipes;Household;Non-Consumable
149;Denny Soft Napkins;18;Paper Products;Paper Wipes;Household;Non-Consumable
150;Denny Scented Tissue;18;Paper Products;Paper Wipes;Household;Non-Consumable
151;Denny Toilet Paper;18;Paper Products;Paper Wipes;Household;Non-Consumable
152;Denny Tissues;18;Paper Products;Paper Wipes;Household;Non-Consumable
153;Denny Scented Toilet Tissue;18;Paper Products;Paper Wipes;Household;Non-Consumable
154;Denny Room Freshener;20;Cleaning Supplies;Deodorizers;Household;Non-Consumable
155;Denny Frying Pan;40;Kitchen Products;Pots and Pans;Household;Non-Consumable
156;Denny Copper Cleaner;87;Kitchen Products;Pot Cleaners;Household;Non-Consumable
157;Denny Bees Wax Candles;47;Candles;Candles;Household;Non-Consumable
158;Denny Silver Cleaner;87;Kitchen Products;Pot Cleaners;Household;Non-Consumable
159;Denny Copper Pot Scrubber;86;Kitchen Products;Pot Scrubbers;Household;Non-Consumable
160;Denny Economy Toilet Brush;85;Bathroom Products;Toilet Brushes;Household;Non-Consumable
161;Denny Scissors;41;Hardware;Tools;Household;Non-Consumable
162;Denny Large Sponge;42;Kitchen Products;Sponges;Household;Non-Consumable
163;Denny Screw Driver;41;Hardware;Tools;Household;Non-Consumable
164;Ship Shape Extra Lean Hamburger;65;Meat;Hamburger;Meat;Food
165;Ship Shape Seasoned Hamburger;65;Meat;Hamburger;Meat;Food
166;Robust Monthly Sports Magazine;104;Magazines;Sports Magazines;Periodicals;Non-Consumable
167;Robust Monthly Auto Magazine;108;Magazines;Auto Magazines;Periodicals;Non-Consumable
168;Robust Monthly Computer Magazine;107;Magazines;Computer Magazines;Periodicals;Non-Consumable
169;Robust Monthly Home Magazine;105;Magazines;Home Magazines;Periodicals;Non-Consumable
170;Robust Monthly Fashion Magazine;106;Magazines;Fashion Magazines;Periodicals;Non-Consumable
171;High Top Summer Squash;61;Vegetables;Fresh Vegetables;Produce;Food
172;High Top Corn on the Cob;61;Vegetables;Fresh Vegetables;Produce;Food
173;High Top Asparagus;61;Vegetables;Fresh Vegetables;Produce;Food
174;High Top Sweet Peas;61;Vegetables;Fresh Vegetables;Produce;Food
175;High Top New Potatos;61;Vegetables;Fresh Vegetables;Produce;Food
176;High Top Beets;61;Vegetables;Fresh Vegetables;Produce;Food
177;High Top Prepared Salad;61;Vegetables;Fresh Vegetables;Produce;Food
178;High Top Onions;61;Vegetables;Fresh Vegetables;Produce;Food
179;High Top Green Pepper;61;Vegetables;Fresh Vegetables;Produce;Food
180;High Top Shitake Mushrooms;61;Vegetables;Fresh Vegetables;Produce;Food
181;High Top Lettuce;61;Vegetables;Fresh Vegetables;Produce;Food
182;High Top Elephant Garlic;61;Vegetables;Fresh Vegetables;Produce;Food
183;High Top Red Pepper;61;Vegetables;Fresh Vegetables;Produce;Food
184;High Top Garlic;61;Vegetables;Fresh Vegetables;Produce;Food
185;High Top Potatos;61;Vegetables;Fresh Vegetables;Produce;Food
186;High Top Cauliflower;61;Vegetables;Fresh Vegetables;Produce;Food
187;High Top Tomatos;61;Vegetables;Fresh Vegetables;Produce;Food
188;High Top Mushrooms;61;Vegetables;Fresh Vegetables;Produce;Food
189;High Top Baby Onion;61;Vegetables;Fresh Vegetables;Produce;Food
190;High Top Dried Mushrooms;61;Vegetables;Fresh Vegetables;Produce;Food
191;High Top Fresh Lima Beans;61;Vegetables;Fresh Vegetables;Produce;Food
192;High Top Squash;61;Vegetables;Fresh Vegetables;Produce;Food
193;High Top Limes;99;Fruit;Fresh Fruit;Produce;Food
194;High Top Firm Tofu;67;Packaged Vegetables;Tofu;Produce;Food
195;High Top Almonds;1;Specialty;Nuts;Produce;Food
196;High Top Macintosh Apples;99;Fruit;Fresh Fruit;Produce;Food
197;High Top Golden Delcious Apples;99;Fruit;Fresh Fruit;Produce;Food
198;High Top Red Delcious Apples;99;Fruit;Fresh Fruit;Produce;Food
199;High Top Lemons;99;Fruit;Fresh Fruit;Produce;Food
200;High Top Fancy Plums;99;Fruit;Fresh Fruit;Produce;Food
201;High Top Plums;99;Fruit;Fresh Fruit;Produce;Food
202;High Top Peaches;99;Fruit;Fresh Fruit;Produce;Food
203;High Top Broccoli;61;Vegetables;Fresh Vegetables;Produce;Food
204;High Top Mandarin Oranges;99;Fruit;Fresh Fruit;Produce;Food
205;High Top Mixed Nuts;1;Specialty;Nuts;Produce;Food
206;High Top Canned Peanuts;1;Specialty;Nuts;Produce;Food
207;High Top Sweet Onion;61;Vegetables;Fresh Vegetables;Produce;Food
208;High Top Cantelope;99;Fruit;Fresh Fruit;Produce;Food
209;High Top Honey Dew;99;Fruit;Fresh Fruit;Produce;Food
210;High Top Fuji Apples;99;Fruit;Fresh Fruit;Produce;Food
211;High Top Walnuts;1;Specialty;Nuts;Produce;Food
212;High Top Oranges;99;Fruit;Fresh Fruit;Produce;Food
213;High Top Tangerines;99;Fruit;Fresh Fruit;Produce;Food
214;High Top Party Nuts;1;Specialty;Nuts;Produce;Food
215;Tip Top Lox;24;Seafood;Fresh Fish;Seafood;Food
216;Tip Top Scallops;2;Seafood;Shellfish;Seafood;Food
217;Best Choice Low Fat Cookies;45;Snack Foods;Cookies;Snack Foods;Food
218;Best Choice BBQ Potato Chips;12;Snack Foods;Chips;Snack Foods;Food
219;Best Choice Corn Chips;12;Snack Foods;Chips;Snack Foods;Food
220;Best Choice Low Fat BBQ Chips;12;Snack Foods;Chips;Snack Foods;Food
221;Best Choice Sugar Cookies;45;Snack Foods;Cookies;Snack Foods;Food
222;Best Choice Chocolate Chip Cookies;45;Snack Foods;Cookies;Snack Foods;Food
223;Best Choice Fudge Cookies;45;Snack Foods;Cookies;Snack Foods;Food
224;Best Choice Fudge Brownies;45;Snack Foods;Cookies;Snack Foods;Food
225;Best Choice Potato Chips;12;Snack Foods;Chips;Snack Foods;Food
226;Best Choice Lemon Cookies;45;Snack Foods;Cookies;Snack Foods;Food
227;Best Choice Graham Crackers;45;Snack Foods;Cookies;Snack Foods;Food
228;Best Choice Cheese Crackers;82;Snack Foods;Crackers;Snack Foods;Food
229;Best Choice Buttered Popcorn;54;Snack Foods;Popcorn;Snack Foods;Food
230;Best Choice No Salt Popcorn;54;Snack Foods;Popcorn;Snack Foods;Food
231;Best Choice Low Fat Popcorn;54;Snack Foods;Popcorn;Snack Foods;Food
232;Best Choice Salsa Dip;83;Snack Foods;Dips;Snack Foods;Food
233;Best Choice Avocado Dip;83;Snack Foods;Dips;Snack Foods;Food
234;Best Choice Salted Pretzels;46;Snack Foods;Pretzels;Snack Foods;Food
235;Best Choice Cheese Dip;83;Snack Foods;Dips;Snack Foods;Food
236;Best Choice Fondue Mix;83;Snack Foods;Dips;Snack Foods;Food
237;Best Choice Mini Donuts;84;Snack Foods;Donuts;Snack Foods;Food
238;Best Choice Beef Jerky;17;Snack Foods;Dried Meat;Snack Foods;Food
239;Best Choice Chocolate Donuts;84;Snack Foods;Donuts;Snack Foods;Food
240;Best Choice Low Fat Chips;12;Snack Foods;Chips;Snack Foods;Food
241;Best Choice Sesame Crackers;82;Snack Foods;Crackers;Snack Foods;Food
242;Best Choice Frosted Cookies;45;Snack Foods;Cookies;Snack Foods;Food
243;Best Choice Dried Apples;109;Snack Foods;Dried Fruit;Snack Foods;Food
244;Best Choice Apple Fruit Roll;109;Snack Foods;Dried Fruit;Snack Foods;Food
245;Best Choice Strawberry Fruit Roll;109;Snack Foods;Dried Fruit;Snack Foods;Food
246;Best Choice Raspberry Fruit Roll;109;Snack Foods;Dried Fruit;Snack Foods;Food
247;Best Choice Grape Fruit Roll;109;Snack Foods;Dried Fruit;Snack Foods;Food
248;Best Choice Dried Dates;109;Snack Foods;Dried Fruit;Snack Foods;Food
249;Best Choice Raisins;109;Snack Foods;Dried Fruit;Snack Foods;Food
250;Best Choice Golden Raisins;109;Snack Foods;Dried Fruit;Snack Foods;Food
251;Best Choice Dried Apricots;109;Snack Foods;Dried Fruit;Snack Foods;Food
252;Best Choice Frosted Donuts;84;Snack Foods;Donuts;Snack Foods;Food
253;Choice Tasty Candy Bar;36;Candy;Chocolate Candy;Snacks;Food
254;Choice Mint Chocolate Bar;36;Candy;Chocolate Candy;Snacks;Food
255;Choice Malted Milk Balls;36;Candy;Chocolate Candy;Snacks;Food
256;Choice Semi-Sweet Chocolate Bar;36;Candy;Chocolate Candy;Snacks;Food
257;Choice Bubble Gum;37;Candy;Gum;Snacks;Food
258;Choice Spicy Mints;38;Candy;Hard Candy;Snacks;Food
259;Choice Mints;38;Candy;Hard Candy;Snacks;Food
260;Choice White Chocolate Bar;36;Candy;Chocolate Candy;Snacks;Food
261;Medalist Ravioli;5;Starchy Foods;Pasta;Starchy Foods;Food
262;Medalist Manicotti;5;Starchy Foods;Pasta;Starchy Foods;Food
263;Medalist Spaghetti;5;Starchy Foods;Pasta;Starchy Foods;Food
264;Medalist Thai Rice;57;Starchy Foods;Rice;Starchy Foods;Food
265;Medalist Rice Medly;57;Starchy Foods;Rice;Starchy Foods;Food
266;Good Imported Beer;43;Beer and Wine;Beer;Alcoholic Beverages;Drink
267;Good Light Wine;44;Beer and Wine;Wine;Alcoholic Beverages;Drink
268;Good Chardonnay Wine;44;Beer and Wine;Wine;Alcoholic Beverages;Drink
269;Good Chablis Wine;44;Beer and Wine;Wine;Alcoholic Beverages;Drink
270;Good Merlot Wine;44;Beer and Wine;Wine;Alcoholic Beverages;Drink
271;Good Chardonnay;44;Beer and Wine;Wine;Alcoholic Beverages;Drink
272;Good White Zinfandel Wine;44;Beer and Wine;Wine;Alcoholic Beverages;Drink
273;Good Light Beer;43;Beer and Wine;Beer;Alcoholic Beverages;Drink
274;Great Pumpernickel Bread;27;Bread;Sliced Bread;Baked Goods;Food
275;Great White Bread;27;Bread;Sliced Bread;Baked Goods;Food
276;Great Rye Bread;27;Bread;Sliced Bread;Baked Goods;Food
277;Great English Muffins;26;Bread;Muffins;Baked Goods;Food
278;Great Cranberry Muffins;26;Bread;Muffins;Baked Goods;Food
279;Great Muffins;26;Bread;Muffins;Baked Goods;Food
280;Great Bagels;25;Bread;Bagels;Baked Goods;Food
281;Great Blueberry Muffins;26;Bread;Muffins;Baked Goods;Food
282;Great Wheat Bread;27;Bread;Sliced Bread;Baked Goods;Food
283;Super Sesame Oil;49;Baking Goods;Cooking Oil;Baking Goods;Food
284;Super Chunky Peanut Butter;53;Jams and Jellies;Peanut Butter;Baking Goods;Food
285;Super Hot Chocolate;51;Hot Beverages;Chocolate;Beverages;Drink
286;Super Brown Sugar;50;Baking Goods;Sugar;Baking Goods;Food
287;Super White Sugar;50;Baking Goods;Sugar;Baking Goods;Food
288;Super French Roast Coffee;90;Hot Beverages;Coffee;Beverages;Drink
289;Super Decaf Coffee;90;Hot Beverages;Coffee;Beverages;Drink
290;Super Regular Coffee;90;Hot Beverages;Coffee;Beverages;Drink
291;Super Vegetable Oil;49;Baking Goods;Cooking Oil;Baking Goods;Food
292;Super Corn Oil;49;Baking Goods;Cooking Oil;Baking Goods;Food
293;Super Tomato Sauce;48;Baking Goods;Sauces;Baking Goods;Food
294;Super Canola Oil;49;Baking Goods;Cooking Oil;Baking Goods;Food
295;Super Grape Preserves;33;Jams and Jellies;Preserves;Baking Goods;Food
296;Super Columbian Coffee;90;Hot Beverages;Coffee;Beverages;Drink
297;Super Strawberry Jelly;31;Jams and Jellies;Jelly;Baking Goods;Food
298;Super Pepper;4;Baking Goods;Spices;Baking Goods;Food
299;Super Low Fat Apple Butter;33;Jams and Jellies;Preserves;Baking Goods;Food
300;Super Salt;4;Baking Goods;Spices;Baking Goods;Food
301;Super Apple Butter;33;Jams and Jellies;Preserves;Baking Goods;Food
302;Super Oregano;4;Baking Goods;Spices;Baking Goods;Food
303;Super Apple Jelly;31;Jams and Jellies;Jelly;Baking Goods;Food
304;Super Grape Jam;32;Jams and Jellies;Jam;Baking Goods;Food
305;Super Apple Jam;32;Jams and Jellies;Jam;Baking Goods;Food
306;Super Strawberry Jam;32;Jams and Jellies;Jam;Baking Goods;Food
307;Super Creamy Peanut Butter;53;Jams and Jellies;Peanut Butter;Baking Goods;Food
308;Super Strawberry Preserves;33;Jams and Jellies;Preserves;Baking Goods;Food
309;Super Extra Chunky Peanut Butter;53;Jams and Jellies;Peanut Butter;Baking Goods;Food
310;Super Apple Preserves;33;Jams and Jellies;Preserves;Baking Goods;Food
311;Super Grape Jelly;31;Jams and Jellies;Jelly;Baking Goods;Food
312;Excellent Berry Juice;30;Pure Juice Beverages;Juice;Beverages;Drink
313;Excellent Mango Drink;52;Drinks;Flavored Drinks;Beverages;Drink
314;Excellent Strawberry Drink;52;Drinks;Flavored Drinks;Beverages;Drink
315;Excellent Cream Soda;19;Carbonated Beverages;Soda;Beverages;Drink
316;Excellent Diet Soda;19;Carbonated Beverages;Soda;Beverages;Drink
317;Excellent Cola;19;Carbonated Beverages;Soda;Beverages;Drink
318;Excellent Diet Cola;19;Carbonated Beverages;Soda;Beverages;Drink
319;Excellent Orange Juice;30;Pure Juice Beverages;Juice;Beverages;Drink
320;Excellent Cranberry Juice;30;Pure Juice Beverages;Juice;Beverages;Drink
321;Excellent Apple Juice;30;Pure Juice Beverages;Juice;Beverages;Drink
322;Excellent Apple Drink;52;Drinks;Flavored Drinks;Beverages;Drink
323;Best Oatmeal;35;Breakfast Foods;Cereal;Breakfast Foods;Food
324;Best Corn Puffs;35;Breakfast Foods;Cereal;Breakfast Foods;Food
325;Best Wheat Puffs;35;Breakfast Foods;Cereal;Breakfast Foods;Food
326;Best Grits;35;Breakfast Foods;Cereal;Breakfast Foods;Food
327;Better Canned Beets;62;Vegetables;Canned Vegetables;Canned Foods;Food
328;Better Creamed Corn;62;Vegetables;Canned Vegetables;Canned Foods;Food
329;Better Canned String Beans;62;Vegetables;Canned Vegetables;Canned Foods;Food
330;Better Chicken Soup;58;Canned Soup;Soup;Canned Foods;Food
331;Better Canned Yams;62;Vegetables;Canned Vegetables;Canned Foods;Food
332;Better Vegetable Soup;58;Canned Soup;Soup;Canned Foods;Food
333;Better Canned Tomatos;62;Vegetables;Canned Vegetables;Canned Foods;Food
334;Better Noodle Soup;58;Canned Soup;Soup;Canned Foods;Food
335;Better Regular Ramen Soup;58;Canned Soup;Soup;Canned Foods;Food
336;Better Chicken Noodle Soup;58;Canned Soup;Soup;Canned Foods;Food
337;Better Turkey Noodle Soup;58;Canned Soup;Soup;Canned Foods;Food
338;Better Beef Soup;58;Canned Soup;Soup;Canned Foods;Food
339;Better Canned Peas;62;Vegetables;Canned Vegetables;Canned Foods;Food
340;Better Chicken Ramen Soup;58;Canned Soup;Soup;Canned Foods;Food
341;Better Canned Tuna in Water;93;Canned Tuna;Tuna;Canned Foods;Food
342;Better Canned Tuna in Oil;93;Canned Tuna;Tuna;Canned Foods;Food
343;Better Large Canned Shrimp;94;Canned Shrimp;Shrimp;Canned Foods;Food
344;Better Fancy Canned Anchovies;95;Canned Anchovies;Anchovies;Canned Foods;Food
345;Better Fancy Canned Clams;96;Canned Clams;Clams;Canned Foods;Food
346;Better Fancy Canned Oysters;97;Canned Oysters;Oysters;Canned Foods;Food
347;Better Fancy Canned Sardines;98;Canned Sardines;Sardines;Canned Foods;Food
348;Better Rice Soup;58;Canned Soup;Soup;Canned Foods;Food
349;Swell Canned Mixed Fruit;3;Fruit;Canned Fruit;Canned Products;Food
350;Swell Canned Peaches;3;Fruit;Canned Fruit;Canned Products;Food
351;ADJ Rosy Sunglasses;89;Specialty;Sunglasses;Carousel;Non-Consumable
352;Black Tie Eyeglass Screwdriver;103;Hardware;Screwdrivers;Checkout;Non-Consumable
